Sample,pH,EC,OC,N,P,K,S,Zn,B,Fe,Mn,Cu,Area in Acre,Bigha
Sample 1,6.78,0.25,0.38,179,7.93,256,13.37,1.16,0.64,8.65,2.01,0.36,1.5,10
Sample 2,6.78,0.24,0.36,154,8.26,264,14.53,1.2,0.63,8.73,1.96,0.4,1.53,10
Sample 3,6.84,0.26,0.36,172,7.6,252,13.77,1.25,0.64,8.56,1.86,0.33,1.52,10
Sample 4,6.8,0.25,0.35,164,8.46,269,13.97,1.09,0.64,8.76,1.96,0.39,1.62,11
Sample 5,7.13,0.14,0.23,106,4.3,147,14.85,1.02,0.63,8.73,1.73,0.47,0.86,8
Sample 6,6.84,0.26,0.39,171,12.95,247,13.78,1.18,0.55,9.03,2.06,0.37,1.44,9
Sample 7,6.97,0.12,0.3,148,17.28,130,14.41,0.92,1.24,6.42,2.47,0.5,2.08,12
Sample 8,7.08,0.13,0.22,106,4.51,131,14.55,1.04,0.55,8.34,1.82,0.46,1.32,7
Sample 9,7.1,0.14,0.23,97,3.61,139,14.89,1.08,0.57,8.44,1.92,0.49,0.81,8
Sample 10,7.33,0.1,0.21,109,3.56,105,15.77,0.94,0.5,7.22,2.06,0.27,1.5,9
Sample 11,6.94,0.12,0.29,140,17.83,141,15.1,0.93,1.25,6.63,2.53,0.46,1.88,13
Sample 12,6.91,0.16,0.28,143,13.8,188,14.47,0.66,0.75,9.23,2.71,0.29,1.12,7
Sample 13,6.93,0.16,0.27,150,12.34,167,14.05,0.68,0.72,9.1,2.66,0.24,1.3,8
Sample 14,6.86,0.15,0.28,137,14.53,176,15.09,0.75,0.86,9.19,2.6,0.28,1.09,8
Sample 15,6.9,0.11,0.31,140,18.71,112,14.86,0.93,1.18,6.37,2.48,0.48,1.73,12
Sample 16,7.41,0.11,0.14,72,18.07,76,12.3,1.37,0.54,7.11,2.17,0.51,2.56,15
Sample 17,7.07,0.14,0.21,103,2.67,157,14.61,1.12,0.58,8.52,1.85,0.38,1.21,7
Sample 18,7.22,0.12,0.19,84,15.1,109,14.71,1.23,0.54,7.72,1.8,0.76,0.53,5
Sample 19,7.4,0.12,0.15,70,18.32,114,12.01,1.43,0.43,6.95,2.24,0.51,2.58,15
Sample 20,7.19,0.12,0.18,61,12.98,101,15.07,1.14,0.55,7.84,1.77,0.84,0.64,4
Sample 21,7.11,0.15,0.23,111,3.29,136,15.03,1.08,0.63,8.58,1.76,0.47,1,7
Sample 22,7.28,0.11,0.23,101,3.77,85,15.66,0.94,0.56,7.32,2.05,0.27,1.36,8
Sample 23,6.97,0.15,0.29,138,14.72,182,14.39,0.74,0.78,9.33,2.65,0.23,1.16,9
Sample 24,7.13,0.14,0.22,103,4.61,141,14.7,1.16,0.52,8.26,1.9,0.48,1.17,7
Sample 25,7.21,0.14,0.23,107,4.57,126,11.78,0.64,1,8.12,2,0.45,1.35,7
Sample 26,7.25,0.12,0.21,114,2.11,143,12.06,0.66,0.93,8.15,2.08,0.52,1.36,8
Sample 27,6.76,0.25,0.33,177,6.78,264,13.84,1.19,0.6,8.87,1.97,0.35,1.4,11
Sample 28,6.89,0.24,0.36,165,6.51,251,13.69,1.19,0.64,9.19,2.06,0.35,1.4,10
Sample 29,7.37,0.09,0.22,111,4.14,76,15.39,0.94,0.51,7.49,2.11,0.28,1.33,8
Sample 30,7.26,0.12,0.22,93,2.9,131,12.41,0.73,0.92,8.1,2.02,0.56,1.31,9
Sample 31,7.18,0.15,0.17,68,14.85,106,14.77,1.25,0.49,7.89,1.88,0.89,0.65,4
Sample 32,7.16,0.14,0.25,94,2.5,133,15.01,1.06,0.47,8.47,1.75,0.47,1.14,6
Sample 33,6.87,0.17,0.3,150,13.59,183,14.94,0.69,0.66,8.92,2.69,0.26,0.95,7
Sample 34,7.3,0.09,0.22,104,5.1,103,15.63,0.84,0.5,7.32,2.06,0.2,1.57,8
Sample 35,6.88,0.25,0.38,164,9.55,264,13.58,1.1,0.63,8.74,2.02,0.32,1.32,10
Sample 36,7.27,0.13,0.22,114,4.59,115,12.52,0.69,0.91,8.12,1.94,0.44,1.41,9
Sample 37,6.81,0.15,0.29,133,14.89,179,14.82,0.76,0.72,9.26,2.74,0.3,1.23,8
Sample 38,7.44,0.1,0.14,64,18.33,58,12.09,1.33,0.41,7.06,2.19,0.55,2.82,14
Sample 39,7.07,0.12,0.25,118,5.23,123,15.51,1.03,0.56,8.52,1.86,0.47,1.18,7
Sample 40,6.9,0.11,0.32,144,18.4,129,14.66,0.91,1.21,6.38,2.54,0.58,2.1,12
Sample 41,7.08,0.16,0.23,106,5.33,159,15.41,0.98,0.51,8.18,1.78,0.45,1.13,6
Sample 42,7.31,0.12,0.21,101,5.1,103,15.66,0.87,0.52,7.29,2.02,0.21,1.47,8
Sample 43,6.88,0.11,0.27,147,20.65,123,15.58,0.94,1.06,6.39,2.6,0.58,2.08,13
Sample 44,7.12,0.14,0.16,71,13.83,87,15.33,1.22,0.5,7.98,1.86,0.83,0.53,4
Sample 45,7.17,0.13,0.14,68,13.03,95,14.59,1.26,0.44,7.7,1.73,0.87,0.53,4
Sample 46,7.14,0.12,0.22,108,5.99,125,14.53,1.05,0.51,8.46,1.83,0.4,1.19,7
Sample 47,7.07,0.15,0.21,99,5.02,134,15.48,0.98,0.58,8.71,1.79,0.42,1,6
Sample 48,6.91,0.11,0.29,138,17.96,128,14.6,0.94,1.18,6.75,2.35,0.55,2.14,11
Sample 49,6.79,0.24,0.37,168,9.6,254,14.24,1.19,0.61,9.03,1.9,0.38,1.5,9
Sample 50,6.9,0.15,0.31,135,13.09,176,14.99,0.67,0.73,9.22,2.79,0.24,1.12,6
Sample 51,6.91,0.14,0.31,145,15.1,190,14.84,0.76,0.77,9.07,2.67,0.28,1.15,8
Sample 52,6.81,0.17,0.3,141,12.86,184,14.77,0.77,0.73,9.2,2.67,0.28,1.24,6
Sample 53,7.14,0.12,0.2,117,5.79,138,12.17,0.72,0.96,8.42,1.99,0.47,1.51,8
Sample 54,7.27,0.13,0.2,108,4.31,134,12.24,0.55,0.94,8.2,1.91,0.51,1.12,7
Sample 55,6.91,0.15,0.31,143,14.11,178,14.77,0.67,0.74,8.84,2.71,0.27,1.24,6
Sample 56,7.4,0.13,0.14,84,18.83,83,12.37,1.39,0.52,6.61,2.21,0.53,2.49,15
Sample 57,6.83,0.26,0.38,176,9.05,257,13.95,1.22,0.61,8.85,1.98,0.37,1.36,12
Sample 58,6.82,0.25,0.39,168,8.45,267,13.53,1.2,0.57,9.07,1.98,0.37,1.55,9
Sample 59,7.25,0.13,0.18,109,4.24,136,12.2,0.66,0.99,8.13,2,0.47,1.11,8
Sample 60,7.08,0.15,0.24,100,4.01,131,14.57,1.02,0.52,8.34,1.83,0.46,1.28,6
Sample 61,7.22,0.12,0.16,72,13.33,93,14.59,1.24,0.48,7.74,1.86,0.84,0.48,4
Sample 62,7.08,0.13,0.23,111,4.9,130,14.73,1.03,0.69,8.67,1.78,0.46,1.06,7
Sample 63,7.17,0.13,0.16,70,12.44,111,14.65,1.21,0.52,7.85,1.83,0.86,0.64,5
Sample 64,6.93,0.17,0.31,139,14.19,192,14.99,0.74,0.77,9.39,2.78,0.3,1.18,7
Sample 65,6.91,0.11,0.29,148,18.76,113,14.71,0.89,1.17,6.33,2.52,0.5,1.96,13
Sample 66,6.81,0.25,0.37,166,8.57,259,13.42,1.23,0.6,8.85,2.02,0.35,1.48,9
Sample 67,6.9,0.1,0.3,150,17.36,144,14.9,0.96,1.17,6.39,2.4,0.49,2.13,11
Sample 68,7.35,0.12,0.15,79,18.4,94,12.35,1.36,0.52,7.16,2.27,0.57,2.49,16
Sample 69,7.37,0.12,0.23,93,3.83,84,15.09,0.93,0.47,7.59,2.21,0.23,1.34,8
Sample 70,7.34,0.1,0.23,107,4.47,83,15.35,0.85,0.66,7.21,2.12,0.3,1.2,8
Sample 71,7.14,0.11,0.23,108,4.62,122,12.19,0.7,1.03,8.45,2.02,0.48,1.32,8
Sample 72,7.24,0.12,0.17,72,15.93,92,15.15,1.22,0.46,7.75,1.81,0.84,0.68,4
Sample 73,6.82,0.23,0.36,169,7.39,252,13.54,1.16,0.6,8.9,1.99,0.39,1.54,11
Sample 74,7.13,0.15,0.15,83,11.59,94,14.91,1.22,0.52,7.6,1.92,0.85,0.67,4
Sample 75,6.97,0.16,0.3,126,12.68,177,14.55,0.71,0.8,8.85,2.8,0.31,1.23,7
Sample 76,7.04,0.15,0.21,106,4.44,139,14.93,1,0.62,8.4,1.73,0.43,1.27,8
Sample 77,6.84,0.14,0.27,150,15.25,181,14.66,0.81,0.73,9.38,2.66,0.28,1.06,7
Sample 78,7.19,0.12,0.21,104,4.66,130,12.11,0.71,0.85,8.72,1.95,0.5,1.19,8
Sample 79,6.78,0.25,0.36,172,9.94,243,13.87,1.19,0.63,8.86,1.97,0.38,1.57,10
Sample 80,7.37,0.1,0.22,99,4.42,93,15.5,0.89,0.62,7.3,2.07,0.27,1.44,7
Sample 81,7.33,0.11,0.2,98,2.93,102,15.76,0.95,0.44,7.42,2.23,0.28,1.05,9
Sample 82,7.31,0.1,0.24,115,1.86,81,15.43,0.92,0.52,7.21,2.02,0.18,1.47,7
Sample 83,7.1,0.12,0.18,73,13.71,121,14.64,1.27,0.5,7.91,1.75,0.8,0.46,4
Sample 84,7.23,0.11,0.2,96,4.71,105,15.65,0.79,0.49,7.39,2.03,0.23,1.36,7
Sample 85,7.38,0.11,0.16,66,17.04,87,12.09,1.4,0.44,6.92,2.42,0.55,2.57,16
Sample 86,6.95,0.15,0.3,147,14.38,171,14.98,0.69,0.81,9.01,2.71,0.25,1.46,6
Sample 87,6.82,0.25,0.41,156,8.36,246,13.7,1.15,0.55,8.97,1.97,0.38,1.45,10
